"Bot Name:","TravelGenie"
"Report name:","Developer Batch Testing"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Notes:",""
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","2","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","03-15-2025 10:21:40 AM"
"Utterance count:","171"
"Percentage breakdown:","82.46% True Positive","0.00% True Negative","1.75% False Positive","15.79% False Negative"
"Success / Failure Ratio:","82.46"
"F1 Score:","0.90"
"Precision:","0.98"
"Recall:","0.84"
"Total Entities Count:","0"
"Matched Entities Count:","0"
"Entities Success / Failure Ration:","0.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"I want to fly from Tokyo to Seoul next Friday","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need to book a flight for tomorrow from Rome to Madrid.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Reserve a seat on a flight from Toronto to Vancouver","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need a flight from New York to Los Angeles on December 15th.","TravelBuddy","travelbuddy | book flight","None","configured | configured","FP","","","","","","AskChoice","","","","ML: 99; RR: 9900 | ML: 98; RR: 9800","ML: 99; RR: 9900"
"Please book a flight from Dubai to Tokyo on March 10th.","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you book a flight from Dubai to Mumbai for next Monday?","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you help me book a flight to Chicago from Miami this Friday?","TravelBuddy","travelbuddy","None","configured","TP","","","","","","AskChoice","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Schedule a flight from Berlin to Rome","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Find a flight from Sydney to Melbourne on April 10th","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Reschedule my flight from Moscow to Cairo to Wednesday.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Modify my booking","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I need a flight from New York to Los Angeles on December 1st","Book Flight","travelbuddy | book flight","None","configured | configured","FP","","","","","","","","","","ML: 97; RR: 9700 | ML: 100; RR: 100","ML: 100; RR: 100"
"Set a reminder to follow up with Rachel regarding the new marketing campaign.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"These samples incorporate a variety of structures and entity combinations to cover different scenarios for the Follow up Task intent.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I would like to modify my flight to Istanbul from Ankara.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Set a reminder to follow up on the software update with Alex by end of this week.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Add a follow-up task to discuss the performance metrics with Michael next Monday.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you assist in modifying my reservation for a flight to Athens?","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need a follow-up task for the quarterly review meeting on the 15th.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you help me change my travel date for the flight from Hong Kong to Bangkok to next Monday?","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to change my trip details from Seoul to Shanghai.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please update my flight from Berlin to Rome on Friday.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to reschedule my flight to Toronto from Vancouver.","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you set a follow-up task for the client feedback session next Thursday?","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight from Las Vegas to Phoenix","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you modify my booking for the trip from Tokyo to Sydney?","ModifyBooking","modifybooking","None","configured","TP","","","","","","PhoneNumber > ModificationChoices","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you add a follow-up task for tomorrow to check on the shipment status?","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please arrange a flight from Atlanta to Orlando on June 20th","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Sure, here are structurally different samples for the Follow up Task intent with various entity combinations:","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Could you please schedule a follow-up task regarding the project update for next Monday?","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Help me find a flight from Hong Kong to Bangkok on May 5th","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can I talk to a live customer service agent?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I would like to be transferred to a human agent for further assistance.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Need to book a flight from Seattle to Denver for next weekend","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I'd like to speak with a live person, please.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to be transferred to a support agent.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a ticket for a flight departing from San Francisco to Boston on March 15th","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Could you put me in touch with a customer service agent?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I'd like to book a flight from Houston to Dallas","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you connect me to someone who can help?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to talk to an agent about my issue.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you help me book a flight from Chicago to Miami?","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you get me a customer support agent?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I would like to speak to a human agent, please.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book flight from Paris to London for Tuesday","Book Flight","book flight","None","configured","TP","","","","","","","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Could you transfer me to someone who can assist me?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please create a task to follow up with Emily about the contract details.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Schedule a follow-up task for the status check on the ongoing project next Friday.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Follow up with the supplier about the order delivery. Add this to my tasks, please.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 0.867; RR: 86.7","ML: 0.867; RR: 86.7"
"I need to follow up on the training schedule for the new hires. Set this as a task.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 0.787; RR: 78.7","ML: 0.787; RR: 78.7"
"Please connect me to an agent.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"Schedule a follow-up task to discuss the new proposal with the team next week.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please create a follow-up task for the client meeting on Wednesday.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you transfer me to a customer service representative?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I have to follow up with Sarah about the marketing strategy. Can you add this to my tasks?","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 0.834; RR: 83.39999999999999","ML: 0.834; RR: 83.39999999999999"
"These samples cover different structural formats, various city combinations, and some without specific travel dates.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 100"
"Arrange a flight from Lisbon to Zurich for Friday.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"I need to set a follow-up task to review the budget report with John by Friday.","Follow up Task","follow up task","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I'd like to travel from Athens to Istanbul on Thursday.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Can you assist with booking a flight to Boston from Philadelphia?","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"I need to book a flight from Miami to Houston for tomorrow.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Please book me a flight from Seoul to Osaka on next Tuesday.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Please connect me to a human representative.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to schedule a flight from Beijing to Shanghai.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Please transfer me to a human.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"Help me reach a representative.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"Help me book a flight from Amsterdam to Brussels for the coming weekend.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Can I be transferred to a human representative?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to be connected to an agent for assistance.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Sure, here are some training samples for the Fallback Task intent:","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 100"
"Help me talk to a customer service agent.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Could you arrange my flight from Mumbai to Dubai for Monday?","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Could you please book a flight from New York to Los Angeles for next Friday?","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.988"
"I need to talk to a live agent.","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"Can you help me book a flight from Boston to Atlanta?","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.989"
"I need to travel from Houston to Seattle on the 15th.","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.964"
"How can I get a flight from Madrid to Barcelona for this Sunday?","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"I need help, could you put me through to an agent?","DefaultAgentTransfer","defaultagenttransfer","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to book a flight to Chicago from Los Angeles for next Thursday.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Book a flight from Bangkok to Singapore on next month.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Schedule a flight from Toronto to Vancouver for next month.","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.898"
"Can you help me book a flight from New York to San Francisco on Friday?","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Can you find me a flight from Toronto to Vancouver?","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"I want to fly from Sydney to Melbourne on Monday.","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.971"
"I'd like to schedule a trip from Berlin to Rome for next Wednesday.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Book a flight from Detroit to Warsaw on February 11th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need a flight from San Francisco to Tokyo on the 25th of December.","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.979"
"Please find flights departing from Tokyo heading to Sydney on Saturday.","Fallback Task","None","None","None","FN","","","","","","","","","","","ML: 99"
"Arrange a flight from Baltimore to Budapest on June 6th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Could you arrange a flight from Minneapolis to Reykjavik on January 8th?","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight from Tampa to Edinburgh for July 19th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to find a flight from San Diego to Oslo for May 20th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Get me a flight from Dubai to New Delhi for the 1st of November.","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.869"
"Can you book a flight from Charlotte to Prague on April 22nd?","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please find me a flight from Chicago to Miami for this weekend.","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.972"
"Can you arrange a flight from Dallas to Denver for next Wednesday?","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.987"
"Find me a flight to Luxembourg from Las Vegas for March 30th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Schedule a flight from Portland to Dublin on May 17th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you book a flight from Berlin to Rome for tomorrow?","SATwaitForUserInput","None","None","None","FN","","","","","","","","","","","ML: 0.986"
"Schedule a flight for me from Philadelphia to Helsinki on Sunday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you find a flight from Seattle to Istanbul for December 3rd?","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I'd like to book a flight to Zurich from Washington, D.C. on June 30th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight from Atlanta to Moscow on next Tuesday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Arrange a flight from Denver to Copenhagen for April 14th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you book a flight from Orlando to Stockholm on March 12th?","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Get me a flight from Houston to Bangkok on November 1st.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Schedule a flight from Chicago to Dubai on July 22nd.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Reserve a flight from Los Angeles to Athens for September 5th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to book a flight from Miami to Vienna on Saturday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Could you please arrange a flight from Boston to Amsterdam on August 10th?","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please book a flight from Phoenix to Brussels on October 25th.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight for me from Sydney to Rome departing Wednesday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to book a flight to Madrid from Toronto for next Monday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need a flight to Lisbon leaving from Dallas on Thursday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to book a flight departing on Monday.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Find a flight departing from New York and arriving in Tokyo on Friday.","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you help me book a flight from San Francisco to Berlin on June 15th?","AnswerGeneration","answergeneration","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please book a flight to Boston.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 98; RR: 9800","ML: 98; RR: 9800"
"Book me a flight from Seattle to San Francisco for this coming Thursday.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Schedule a flight for next Friday.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need a flight from Washington D.C. to Detroit on Wednesday.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I want to book a flight for tomorrow from Denver to Phoenix.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to book a flight from Charlotte to Austin.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Set up a flight from Las Vegas to San Diego on July 4th.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Book a flight from Atlanta to Houston on November 20th.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you arrange a flight from Nashville to New Orleans?","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Give me my booking details","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you book a flight for me from Philadelphia to Orlando on September 12th?","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Please book a flight departing from New York to Los Angeles on August 15th.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Can you schedule a flight from San Francisco to Seattle on December 1st?","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need to arrange a flight from Chicago to Miami for next Monday.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"What are the booking details for my journey to Toronto?","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"My flight booking details","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Arrange a flight from Boston to Dallas for Friday.","Custom Feedback Survey","custom feedback survey","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"What are my flight details for the trip from Berlin to Rome on Saturday?","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"I need a ticket to Tokyo from Seoul for Wednesday.","InteractionIntents","interactionintents","None","configured","TP","","","","","","","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
"Could you provide me with the information for my flight from San Francisco to Las Vegas on Friday?","Get Booking Details","get booking details","None","configured","TP","","","","","","PhoneNumber","","","","ML: 99; RR: 9900","ML: 99; RR: 9900"
