Input,Taskname
I need to find a flight from San Diego to Oslo for May 20th.,AnswerGeneration
Find me a flight to Luxembourg from Las Vegas for March 30th.,AnswerGeneration
Arrange a flight from Baltimore to Budapest on June 6th.,AnswerGeneration
Could you arrange a flight from Minneapolis to Reykjavik on January 8th?,AnswerGeneration
Book a flight from Detroit to Warsaw on February 11th.,AnswerGeneration
Schedule a flight from Portland to Dublin on May 17th.,AnswerGeneration
Find me a flight departing from Los Angeles to Chicago for next Wednesday.,InteractionIntents
I need a flight from Tokyo to Sydney next Monday.,InteractionIntents
I need to book a flight to Toronto from Vancouver on Thursday.,InteractionIntents
Can you arrange a flight from Rome to Madrid for next Friday?,InteractionIntents
Book a flight from Dubai to Istanbul for tomorrow.,InteractionIntents
I want to fly from Berlin to Amsterdam this Saturday.,InteractionIntents
Please arrange a flight from Boston to Miami on Sunday.,InteractionIntents
Can you book a flight for me from Moscow to Athens?,InteractionIntents
Please help me with booking a flight from Delhi to Bangkok.,InteractionIntents
I would like to fly from Singapore to Kuala Lumpur next Thursday.,InteractionIntents
I need a ticket to Tokyo from Seoul for Wednesday.,InteractionIntents
Can you help me book a flight to Chicago from Miami this Friday?,TravelBuddy
I need a flight from New York to Los Angeles on December 15th.,TravelBuddy
I want to travel from Berlin to Amsterdam on Saturday.,TravelBuddy
Please book a flight from Dubai to Tokyo on March 10th.,TravelBuddy
Arrange a flight departing San Francisco and arriving in Seattle for next Monday.,TravelBuddy
I need to book a flight for tomorrow from Rome to Madrid.,TravelBuddy
Book a ticket from Boston to Houston for January 22nd.,TravelBuddy
Book a flight from London to New York.,TravelBuddy
I am looking to fly from Sydney to Melbourne next Wednesday.,TravelBuddy
Get me a flight from Mumbai to Bangkok.,TravelBuddy
Help me book a flight to Paris.,TravelBuddy
I want to book a flight from Las Vegas for June 5th.,TravelBuddy
Can you arrange a flight to Dubai?,TravelBuddy
Book a flight for next weekend.,TravelBuddy
I need a flight from San Francisco to Tokyo on the 25th of December.,SATwaitForUserInput
I want to fly from Sydney to Melbourne on Monday.,SATwaitForUserInput
Can you book a flight from Berlin to Rome for tomorrow?,SATwaitForUserInput
Schedule a flight from Toronto to Vancouver for next month.,SATwaitForUserInput
Please find me a flight from Chicago to Miami for this weekend.,SATwaitForUserInput
I need to travel from Houston to Seattle on the 15th.,SATwaitForUserInput
Could you please book a flight from New York to Los Angeles for next Friday?,SATwaitForUserInput
Can you arrange a flight from Dallas to Denver for next Wednesday?,SATwaitForUserInput
Get me a flight from Dubai to New Delhi for the 1st of November.,SATwaitForUserInput
Can you help me book a flight from Boston to Atlanta?,SATwaitForUserInput
Please find flights departing from Tokyo heading to Sydney on Saturday.,Fallback Task
"Sure, here are some training samples for the Fallback Task intent:",Fallback Task
Could you arrange my flight from Mumbai to Dubai for Monday?,Fallback Task
I'd like to schedule a trip from Berlin to Rome for next Wednesday.,Fallback Task
Can you help me book a flight from New York to San Francisco on Friday?,Fallback Task
Can you find me a flight from Toronto to Vancouver?,Fallback Task
I need to book a flight to Chicago from Los Angeles for next Thursday.,Fallback Task
Help me book a flight from Amsterdam to Brussels for the coming weekend.,Fallback Task
I want to schedule a flight from Beijing to Shanghai.,Fallback Task
Book a flight from Bangkok to Singapore on next month.,Fallback Task
I need to book a flight from Miami to Houston for tomorrow.,Fallback Task
Please book me a flight from Seoul to Osaka on next Tuesday.,Fallback Task
I'd like to travel from Athens to Istanbul on Thursday.,Fallback Task
How can I get a flight from Madrid to Barcelona for this Sunday?,Fallback Task
Can you assist with booking a flight to Boston from Philadelphia?,Fallback Task
"These samples cover different structural formats, various city combinations, and some without specific travel dates.",Fallback Task
Arrange a flight from Lisbon to Zurich for Friday.,Fallback Task
I need to set a follow-up task to review the budget report with John by Friday.,Follow up Task
"Sure, here are structurally different samples for the ""Follow up Task"" intent with various entity combinations:",Follow up Task
Could you please schedule a follow-up task regarding the project update for next Monday?,Follow up Task
Can you add a follow-up task for tomorrow to check on the shipment status?,Follow up Task
I have to follow up with Sarah about the marketing strategy. Can you add this to my tasks?,Follow up Task
Schedule a follow-up task to discuss the new proposal with the team next week.,Follow up Task
Please create a follow-up task for the client meeting on Wednesday.,Follow up Task
Can you set a follow-up task for the client feedback session next Thursday?,Follow up Task
I need a follow-up task for the quarterly review meeting on the 15th.,Follow up Task
Set a reminder to follow up on the software update with Alex by end of this week.,Follow up Task
"Follow up with the supplier about the order delivery. Add this to my tasks, please.",Follow up Task
I need to follow up on the training schedule for the new hires. Set this as a task.,Follow up Task
Please create a task to follow up with Emily about the contract details.,Follow up Task
Schedule a follow-up task for the status check on the ongoing project next Friday.,Follow up Task
Add a follow-up task to discuss the performance metrics with Michael next Monday.,Follow up Task
Set a reminder to follow up with Rachel regarding the new marketing campaign.,Follow up Task
"These samples incorporate a variety of structures and entity combinations to cover different scenarios for the ""Follow up Task"" intent.",Follow up Task
I need to check my booking status for the flight to Sydney.,Get Booking Details
I want to see the details of my flight from Singapore to Hong Kong for next Monday.,Get Booking Details
Can you provide me with the details of my booking from New York to Tokyo?,Get Booking Details
Please show me the booking information for my flight from Madrid to Los Angeles.,Get Booking Details
Do you have the booking details for my trip to Dubai?,Get Booking Details
What are my flight details for the trip from Berlin to Rome on Saturday?,Get Booking Details
Can you tell me the details of my flight from Chicago to Miami on Wednesday?,Get Booking Details
What are the booking details for my journey to Toronto?,Get Booking Details
Could you provide me with the information for my flight from San Francisco to Las Vegas on Friday?,Get Booking Details
Give me my booking details,Get Booking Details
My flight booking details,Get Booking Details
Can you modify my booking for the trip from Tokyo to Sydney?,ModifyBooking
Change my booking date for my flight from Chicago to San Francisco to December 1st.,ModifyBooking
Adjust my travel plans for the journey from Dubai to Mumbai.,ModifyBooking
I need to change my flight from New York to Los Angeles on November 15th.,ModifyBooking
Please update my flight from Berlin to Rome on Friday.,ModifyBooking
I need to reschedule my flight to Toronto from Vancouver.,ModifyBooking
Modify my current booking for the route from Madrid to Lisbon.,ModifyBooking
I want to update my booking to fly from Boston to Miami on April 12th.,ModifyBooking
Can you help me change my travel date for the flight from Hong Kong to Bangkok to next Monday?,ModifyBooking
I need to change my trip details from Seoul to Shanghai.,ModifyBooking
Please alter my flight details from Amsterdam to Vienna.,ModifyBooking
Can you assist in modifying my reservation for a flight to Athens?,ModifyBooking
Help me change the booking for my flight from San Diego to Las Vegas.,ModifyBooking
I would like to modify my flight to Istanbul from Ankara.,ModifyBooking
Reschedule my flight from Moscow to Cairo to Wednesday.,ModifyBooking
Modify my booking,ModifyBooking
